@relation credit-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N8-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute class {approve,deny}

@data
1.732051,405.00544,53.399126,347.7092,348.575225,0,0,346.410162,approve
-957.027353,185.554603,109.344367,70.944801,78.011568,7.724947,-969.948452,64.08588,approve
-1421.147688,530.007547,43.30127,484.108201,485.840252,0.866025,-1427.209865,484.974226,approve
-0.796743,225.807464,50.870332,166.70989,176.23617,2.667358,-5.196152,161.080725,approve
11.474837,254.256398,44.678251,204.88429,209.075853,9.742786,0,207.846097,approve
10.392305,687.762735,60.760342,615.744062,624.404316,6.928203,0,620.074189,approve
-54181.94408,343.309791,59.253458,274.530053,293.582612,1.801333,-54185.477464,282.324282,approve
-2314.73868,200.060529,61.496464,136.762732,136.901296,21.797859,-2338.26859,135.099963,approve
-542.997928,405.161325,91.660129,306.642275,318.628067,0.866025,-545.596004,313.501196,approve
-2490.836286,172.191831,78.661087,84.584701,93.816532,8.51303,-2497.617265,88.334591,approve
4.901704,261.383787,39.681284,219.684664,223.720343,1.437602,0,219.970453,approve
-339.767747,505.334483,53.269223,444.556821,456.109599,3.178313,-344.678111,450.33321,approve
12.124356,78.375299,76.643248,-3.464102,0,10.392305,-1.732051,-3.464102,approve
-4647.023035,95.470641,95.470641,-1.801333,-3.39482,10.461587,-4662.680774,0,approve
21.650635,101.030524,97.566422,-10.392305,5.196152,18.186533,0,-13.856406,approve
5.914954,625.417566,67.697206,552.091195,552.95722,7.647004,-1.732051,536.93575,approve
4.979646,738.07015,48.713929,680.765249,684.090787,1.515544,0,677.231866,approve
-410.712548,261.756178,50.44598,200.623445,209.872596,10.175798,-424.352448,190.525589,approve
3.897114,38.243682,38.243682,0.580237,-0.580237,-1.299038,0,0,approve
18.333758,214.349948,49.805121,166.70989,167.575916,16.601707,-1.732051,150.68842,approve
-2071.099753,410.929054,61.054791,340.347984,347.276187,19.485572,-2090.585325,316.965298,approve
3.464102,563.349525,40.270181,516.436929,519.329454,1.732051,1.732051,521.347293,approve
-2166.79556,98.293883,94.829782,-15.371951,11.907849,13.856406,-2180.651967,-13.856406,approve
9.526279,280.453667,72.60757,204.234771,213.189474,25.114737,-20.78461,204.381995,approve
14.722432,337.178331,82.566862,248.549291,248.549291,11.25833,0,244.219164,approve
4.477351,201.636695,26.699563,172.339055,175.803157,1.01325,1.732051,168.008928,approve
25.980762,105.655099,103.923048,-10.678093,7.213992,22.51666,-1.732051,-19.052559,approve
35.507042,131.774425,130.042375,-25.980762,22.51666,30.310889,-1.732051,-29.444864,approve
18.186533,114.176789,114.176789,-10.392305,10.392305,14.722432,0,-5.196152,approve
-17316.974692,942.443485,74.686031,857.36515,871.221556,1.801333,-17320.508076,852.168997,approve
27.349082,370.728155,76.279518,278.790898,296.24997,27.349082,0,280.592231,approve
20.420879,89.702911,89.702911,-12.055074,12.055074,16.956777,-1.732051,-13.856406,approve
-8643.652331,100.606171,98.87412,-14.869656,9.673504,13.137605,-8661.986089,-27.712813,approve
-6917.594419,74.261678,72.529628,-10.392305,6.928203,8.87676,-6928.20323,-3.464102,approve
-947.864804,61.193355,57.729253,-2.450852,-2.745301,18.619546,-969.948452,-10.392305,approve
-56.291651,804.243151,50.80105,748.245949,751.71005,2.598076,-60.621778,729.19339,approve
-1228.742824,1059.729306,51.675736,1008.339358,1011.231883,4.477351,-1236.684277,985.53691,approve
-930.544296,579.804008,60.188766,520.481268,520.481268,20.351597,-956.092046,512.687039,approve
-866.744205,499.41087,47.345609,448.168146,449.034172,2.745301,-867.757455,446.869108,approve
-498.111831,164.536166,109.110541,23.52991,71.732884,14.575208,-519.615242,31.176915,approve
-365.168272,76.799133,73.335031,-9.526279,4.330127,15.882906,-381.051178,-22.51666,approve
-3924.82713,76.071671,74.339621,-7.50844,7.50844,25.980762,-3952.539943,-19.052559,approve
-167.290127,469.532993,53.840799,417.857257,415.259181,2.450852,-173.205081,412.228092,approve
25.833538,215.631665,92.656058,106.304618,132.718393,24.101487,0,107.38715,approve
20.78461,146.219729,141.023577,-51.095499,47.631397,48.497423,-24.248711,-67.549981,approve
-476.746985,105.793663,104.061613,-2.814583,2.814583,11.691343,-490.170379,-20.78461,approve
-2135.549364,862.630584,71.083365,789.598662,788.299624,3.533384,-2140.814798,748.245949,approve
-508.426194,601.67981,64.744059,529.938265,547.397337,9.456997,-521.347293,531.739598,approve
6.13146,450.402492,76.279518,366.328746,376.721051,2.667358,-3.464102,374.122974,approve
2.883865,217.519601,42.582469,171.187242,170.026768,1.151814,0,173.205081,approve
4.330127,895.90328,43.734283,850.653453,851.952491,0.866025,1.732051,846.972845,approve
5.196152,535.2037,46.765372,480.211086,482.809163,1.732051,0,484.974226,approve
-10040.629249,762.899099,68.346725,692.751041,689.425503,3.533384,-10045.894684,689.356221,approve
-340.347984,480.505535,64.813341,413.960143,410.496041,4.330127,-346.410162,410.496041,approve
8.660254,64.518893,66.250943,-11.111106,11.111106,6.928203,-1.732051,-3.464102,approve
-501.212202,337.671965,57.079734,275.681867,276.842341,20.135091,-519.615242,275.396078,approve
1.732051,41.863668,41.863668,-1.879275,-3.316877,1.732051,-1.732051,-1.732051,approve
4.330127,631.904096,77.647838,545.596004,561.184462,0.866025,0,552.524208,approve
11.25833,1300.19858,70.442506,1223.260883,1241.447416,7.794229,-3.464102,1231.488124,approve
10.392305,220.403465,80.10735,129.903811,145.492268,5.196152,0,121.243557,approve
24.681724,467.653718,117.779455,340.780996,345.111123,21.217622,0,336.017857,approve
-1234.666437,517.597403,82.85265,426.084499,434.744753,26.26655,-1264.39709,419.156295,approve
-691.452003,182.229065,38.468848,134.233938,139.43009,1.36832,-692.820323,135.099963,approve
4.910364,40.278842,36.81474,-4.477351,-0.718801,1.446262,0,-1.732051,approve
9.093267,263.133159,55.287062,198.683548,211.812493,9.093267,-1.732051,202.649944,approve
-86598.140969,964.250005,63.583585,896.267011,899.869677,4.399409,-86604.272429,895.470268,approve
-786.351067,65.817931,62.353829,-5.196152,1.732051,1.732051,-788.083117,-20.78461,approve
-26163.70998,496.882075,43.084764,446.436096,447.302121,0.649519,-26167.823601,443.405007,approve
-5101.755654,183.458822,44.894757,139.499372,139.360808,11.25833,-5116.478086,124.707658,approve
-819.043526,996.440169,104.434003,890.923634,893.088698,43.517777,-867.757455,888.542064,approve
16.454483,798.180974,68.987584,724.716039,728.474589,12.990381,-1.732051,727.461339,deny
10.392305,68.987584,67.255533,-21.650635,18.186533,5.196152,-1.732051,0,deny
10.392305,1774.624616,77.214825,1672.295055,1719.060427,10.392305,-1.732051,1692.213639,deny
4.330127,772.061647,75.777223,670.736675,709.707818,0.866025,0,692.820323,deny
6.928203,366.900323,86.308092,272.581496,278.210661,12.124356,-3.464102,278.86018,deny
12.62665,325.55627,44.964039,274.746559,272.581496,9.162549,0,277.128129,deny
12.990381,841.049231,70.286622,763.6179,764.050912,12.990381,0,765.566457,deny
-0.718801,313.076844,30.752562,272.650778,278.141379,2.745301,0,275.396078,deny
-34.355228,351.320526,36.087279,305.706968,314.367222,2.017839,-36.373067,311.769145,deny
18.619546,298.345752,52.394537,240.32205,239.456024,16.887495,1.732051,242.487113,deny
38.105118,283.328871,117.051994,159.348674,157.616623,31.176915,0,161.080725,deny
6.062178,689.65067,48.791871,630.466494,640.858799,2.598076,0,635.662646,deny
4.330127,570.416292,68.121558,494.933518,497.531594,0.866025,0,498.830633,deny
7.794229,527.409471,6.062178,512.687039,523.079344,4.330127,0,517.883191,deny
2.814583,398.155179,48.280916,342.157977,343.734143,2.814583,0,344.678111,deny
10.392305,558.014809,69.576481,476.313972,491.902429,6.928203,0,484.974226,deny
2.38157,1609.724719,0.649519,1604.095554,1607.126643,-1.082532,0,1609.0752,deny
2.095781,375.647179,44.825475,315.233247,330.821704,5.559883,0,327.357603,deny
9.526279,485.840252,66.683956,410.496041,413.960143,9.526279,0,413.960143,deny
-38.971143,260.673647,87.468566,173.205081,169.740979,2.598076,-46.765372,169.740979,deny
22.083648,322.594463,125.140671,187.061487,202.649944,22.083648,1.732051,195.721741,deny
28.578838,290.845972,79.535773,205.248021,205.248021,26.846788,1.732051,207.846097,deny
6.928203,10.392305,5.196152,-18.186533,12.990381,10.392305,0,1.732051,deny
-170.823511,437.697899,87.823636,331.757012,362.795362,2.38157,-171.47303,346.410162,deny
-388.845406,52.394537,47.198385,-4.330127,0.866025,2.598076,-387.979381,0,deny
9.595561,353.546211,55.633472,293.582612,295.314663,6.13146,-1.732051,292.716586,deny
-2.38157,354.420896,37.455599,308.088537,310.253601,2.814583,-1.732051,313.501196,deny
4.330127,556.854335,-0.866025,552.809996,553.97047,0.866025,0,554.256258,deny
19.052559,523.945369,54.5596,457.261413,467.653718,19.052559,0,464.189616,deny
-860.829251,343.812085,51.095499,285.788383,287.520434,1.732051,-866.025404,284.056332,deny
-689.789234,352.039327,62.786842,283.62332,282.757294,3.031089,-692.820323,284.056332,deny
26.846788,228.197694,84.437477,129.903811,143.760217,28.578838,1.732051,140.296115,deny
-53.693575,44.461744,40.997643,-2.38157,-4.546633,8.660254,-65.817931,-1.732051,deny
13.856406,273.664028,64.08588,202.216932,208.27911,20.78461,-10.392305,202.649944,deny
6.928203,183.302937,51.667076,119.944518,139.863103,6.928203,0,126.439709,deny
-194.855716,386.818907,121.815133,263.271723,259.807621,25.114737,-225.166605,230.362757,deny
3.74989,538.520577,51.8143,482.37615,484.108201,2.017839,-1.732051,486.706277,deny
17.320508,271.931977,58.889727,196.587767,215.640326,20.78461,0,207.846097,deny
3.897114,377.881525,71.308532,289.252485,322.16145,3.897114,-1.732051,304.840942,deny
-5.629165,279.726205,33.774991,239.378082,242.132043,1.299038,-6.928203,230.362757,deny
7.794229,628.162866,56.5861,563.782538,572.442792,6.062178,0,561.184462,deny
-251.078085,356.005723,39.040425,307.439018,310.90312,0.069282,-254.611469,306.572993,deny
23.382686,516.289705,64.224444,448.817666,448.384653,21.650635,0,446.869108,deny
4.76314,428.682575,59.755753,365.46272,367.194771,1.299038,-3.464102,358.534517,deny
-361.565606,278.721616,32.770401,241.837594,244.868683,2.165064,-361.998619,237.290961,deny
5.412659,395.851552,45.977289,342.443765,345.180405,1.948557,0,342.94606,deny
8.660254,598.856567,77.509274,501.428709,536.069725,12.124356,-8.660254,507.490887,deny
-19389.442765,103.923048,102.190998,-12.62665,7.430498,11.25833,-19404.165197,-25.980762,approve
-2291.433936,737.628477,110.626085,595.825478,644.3229,12.193638,-2307.091676,609.681884,approve
-65.237694,192.404864,55.57285,139.715878,139.144302,19.632796,-88.334591,131.635861,approve
-505.395105,429.773767,79.899504,344.608829,341.283291,10.756036,-519.615242,346.410162,approve
-423.486422,310.331543,67.84443,238.659281,241.118793,23.382686,-448.601159,122.975607,approve
-958.690122,275.829091,64.518893,201.783919,208.712122,23.382686,-982.072808,183.597386,approve
15.00822,91.512904,88.048803,-14.505926,9.309773,11.544119,0,-6.928203,approve
19.052559,267.60185,56.291651,191.391614,219.104427,15.588457,0,197.453792,approve
-1719.926452,69.143468,69.143468,-11.25833,11.25833,8.660254,-1733.782858,-12.124356,approve
-4337.921248,798.769871,85.164938,704.078653,711.006857,4.330127,-4349.179578,685.89212,approve
-1378.712443,235.125897,58.456715,167.142903,172.339055,19.052559,-1401.229103,161.080725,approve
-1045.725675,543.292377,66.978405,467.220705,476.746985,7.361216,-1058.283043,471.11782,approve
7.794229,541.993339,55.287062,483.527964,486.420489,6.062178,0,483.242175,approve
12.990381,128.604772,126.872722,-22.51666,19.052559,7.794229,0,-1.732051,approve
-254.897257,213.483922,36.81474,167.575916,173.638093,3.178313,-258.07557,171.47303,approve
-88490.475759,747.241359,95.990256,638.260723,659.045332,13.856406,-88509.528318,637.394697,approve
