@relation credit-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S1

@attribute A1 {b,a}
@attribute A6 {c,d,cc,i,j,k,m,r,q,w,x,e,aa,ff}
@attribute A7 {v,h,bb,j,n,z,dd,ff,o}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A13 {g,p,s}
@attribute A14 numeric
@attribute class {approve,deny}

@data
b,w,v,t,t,1,g,202,approve
a,q,h,t,t,6,g,43,approve
a,q,h,t,f,0,g,280,approve
b,w,v,t,t,5,g,100,approve
b,w,v,t,f,0,s,120,approve
b,m,v,t,f,0,g,360,approve
b,r,h,t,f,0,g,164,approve
a,cc,v,t,f,0,g,80,approve
b,k,h,t,f,0,g,180,approve
b,w,v,t,f,0,g,52,approve
b,c,h,f,f,0,g,128,approve
b,c,h,t,f,0,g,260,approve
a,k,v,t,f,0,g,0,approve
b,k,v,f,f,0,g,0,approve
a,q,v,t,t,7,g,0,approve
b,k,v,t,t,10,g,320,approve
b,m,v,t,t,3,g,396,approve
a,q,v,t,t,10,g,120,approve
b,d,h,t,f,0,g,0,approve
a,cc,h,t,t,7,g,96,approve
b,c,v,t,t,17,g,200,approve
b,c,v,t,f,0,s,300,approve
a,c,v,t,t,6,g,0,approve
a,x,h,t,t,1,g,120,approve
a,q,v,t,t,3,g,145,approve
a,c,h,t,t,2,g,100,approve
a,i,bb,t,t,9,g,0,approve
b,d,bb,t,t,17,g,0,approve
b,e,h,t,t,3,g,0,approve
b,w,v,t,t,6,g,500,approve
b,aa,v,t,t,5,g,168,approve
b,x,h,t,t,8,g,0,approve
b,i,bb,t,t,15,g,0,approve
a,e,v,t,f,0,g,0,approve
a,q,v,t,t,5,g,0,approve
b,w,v,t,t,11,g,434,approve
b,cc,h,t,t,12,g,583,approve
a,x,h,t,t,2,g,300,approve
b,cc,v,t,t,2,g,260,approve
b,ff,ff,t,t,11,g,30,approve
b,c,v,t,t,12,g,0,approve
b,c,h,t,t,11,g,0,approve
b,w,h,t,t,1,g,240,approve
b,w,v,t,t,6,g,70,approve
b,c,v,t,t,40,g,0,approve
b,c,h,t,t,11,g,0,approve
a,q,h,t,t,23,g,455,approve
b,cc,h,t,t,3,g,311,approve
b,i,bb,f,f,0,g,216,approve
b,c,v,f,f,0,g,100,approve
a,c,h,t,f,0,g,491,approve
b,q,v,t,f,0,g,280,approve
b,w,v,t,f,0,g,400,approve
b,w,v,t,f,0,g,239,approve
b,cc,h,t,f,0,g,0,approve
b,w,v,t,f,0,g,160,approve
b,cc,v,t,f,0,g,0,approve
b,i,h,t,f,0,g,320,approve
b,x,h,f,f,0,s,711,approve
b,q,h,t,t,11,g,80,approve
b,m,v,t,t,4,g,200,approve
b,d,v,t,t,9,g,250,approve
a,q,v,t,t,2,g,80,approve
a,q,v,t,t,1,g,0,approve
b,cc,v,t,t,1,g,120,approve
b,cc,v,t,t,1,g,520,approve
a,c,v,t,t,11,g,0,approve
b,m,v,t,t,3,g,260,approve
b,w,h,t,t,7,g,80,approve
b,x,h,t,t,1,g,515,approve
b,e,bb,t,f,0,s,420,deny
b,d,bb,t,f,0,g,?,deny
a,cc,v,t,f,0,g,980,deny
b,m,v,t,f,0,s,400,deny
b,c,v,f,f,0,g,160,deny
b,q,v,t,t,1,g,160,deny
b,aa,v,t,f,0,g,443,deny
a,aa,v,t,f,0,g,160,deny
b,k,v,t,t,1,g,180,deny
b,c,v,t,f,0,g,140,deny
b,ff,ff,t,t,1,g,94,deny
a,m,v,t,f,0,s,368,deny
b,m,v,t,f,0,s,288,deny
a,d,v,t,f,0,g,300,deny
b,aa,v,t,f,0,g,200,deny
b,c,bb,t,f,0,s,280,deny
b,d,v,t,f,0,s,928,deny
b,aa,v,t,f,0,g,188,deny
b,aa,v,t,f,0,g,240,deny
a,j,j,t,f,0,g,100,deny
b,c,h,t,f,0,g,112,deny
b,c,v,t,f,0,g,120,deny
b,aa,v,t,f,0,g,0,deny
b,c,h,t,f,0,g,200,deny
b,c,v,t,f,0,g,0,deny
a,i,bb,t,f,0,g,171,deny
b,aa,v,t,f,0,g,180,deny
b,c,bb,t,f,0,s,320,deny
a,q,v,t,f,0,g,268,deny
a,q,v,t,t,2,g,167,deny
b,c,bb,t,f,0,g,164,deny
b,c,v,t,f,0,g,80,deny
b,q,v,t,t,2,g,0,deny
b,k,v,t,t,2,g,120,deny
b,i,h,t,t,2,g,75,deny
b,e,z,t,t,20,g,152,deny
b,k,v,t,f,0,s,280,deny
a,aa,v,t,f,0,g,120,deny
b,x,h,t,f,0,g,176,deny
a,c,v,t,t,5,g,140,deny
b,w,v,t,t,3,g,329,deny
a,ff,ff,t,t,3,g,180,deny
b,w,v,t,f,0,g,260,deny
a,k,bb,t,t,3,g,212,deny
b,c,h,t,t,3,g,140,deny
a,q,v,t,t,2,g,200,deny
b,q,h,t,t,7,g,300,deny
b,k,v,t,t,15,g,0,approve
b,m,v,t,t,6,g,360,approve
a,cc,h,t,t,1,g,80,approve
b,q,v,t,t,1,g,200,approve
b,cc,v,t,t,67,g,140,approve
a,aa,v,t,t,12,g,120,approve
a,q,v,t,t,3,g,0,approve
a,q,v,t,t,5,g,120,approve
b,x,h,t,t,6,g,0,approve
b,m,bb,t,t,12,g,410,approve
b,q,v,t,t,7,g,100,approve
b,i,bb,t,t,2,g,274,approve
a,w,v,t,f,0,s,280,approve
b,e,z,t,t,1,g,0,approve
b,c,v,t,t,1,g,100,approve
a,e,bb,t,t,6,g,375,approve
b,c,bb,t,t,6,g,0,approve
b,q,h,t,t,12,g,408,approve
b,q,h,t,f,0,g,350,approve
b,aa,v,t,t,3,g,200,approve
b,m,v,t,t,6,g,204,approve
a,w,v,t,t,6,g,40,approve
a,q,h,t,t,2,g,0,approve
a,cc,h,t,t,9,g,181,approve
a,j,ff,t,t,15,g,0,approve
b,cc,h,t,t,8,g,100,approve
b,w,v,t,t,1,g,80,approve
b,cc,h,t,t,9,g,399,approve
b,cc,h,t,t,6,g,160,approve
b,q,v,t,t,3,g,0,approve
a,q,h,t,t,14,g,0,approve
a,c,bb,t,t,7,g,0,approve
a,c,v,t,t,14,g,0,approve
a,cc,h,t,t,11,g,440,approve
a,q,v,t,t,14,g,0,approve
b,m,h,t,t,12,g,93,approve
b,c,v,t,t,11,g,60,approve
b,cc,h,t,t,3,g,0,approve
a,j,j,t,t,11,g,0,approve
a,x,h,t,t,1,g,70,approve
a,e,z,t,t,14,g,0,approve
b,k,h,t,t,2,g,181,approve
b,m,bb,t,t,1,g,280,approve
b,x,h,t,t,4,g,140,approve
b,m,v,t,t,2,g,0,approve
b,x,v,t,t,1,g,395,approve
b,e,h,t,f,0,g,393,approve
a,q,v,t,f,0,g,21,approve
a,q,h,t,f,0,g,29,approve
b,q,v,t,f,0,g,60,approve
a,cc,v,t,f,0,g,440,approve
b,q,h,t,f,0,g,102,approve
b,d,v,f,f,0,g,431,approve
a,aa,v,t,f,0,g,370,approve
b,c,bb,t,f,0,g,0,approve
b,k,h,t,f,0,g,24,approve
a,k,h,t,f,0,g,0,approve
b,q,h,t,f,0,g,100,approve
b,w,v,t,f,0,g,260,approve
b,aa,v,t,f,0,s,20,approve
a,aa,v,t,f,0,g,160,approve
a,q,v,t,t,4,g,60,approve
b,aa,v,t,t,14,g,60,approve
b,c,bb,t,t,20,g,0,approve
a,i,bb,t,t,4,s,80,approve
a,q,v,t,t,3,g,100,approve
a,c,v,t,t,7,g,0,approve
a,q,v,t,t,7,g,129,approve
b,c,h,t,t,9,g,181,approve
b,aa,bb,t,t,1,g,0,approve
b,c,v,t,t,7,g,0,approve
a,c,v,t,t,5,g,300,approve
a,q,h,t,t,2,g,0,approve
b,c,v,t,f,0,g,0,approve
b,i,h,t,f,0,g,400,approve
b,x,v,t,f,0,g,510,approve
b,w,v,t,t,6,g,80,approve
b,i,bb,t,t,7,g,195,approve
b,c,bb,t,t,8,g,144,approve
b,x,v,t,t,3,g,380,approve
b,w,h,t,t,12,g,0,approve
b,aa,v,t,t,3,g,370,approve
b,x,v,t,t,9,g,60,approve
a,q,h,t,t,1,g,0,approve
a,i,bb,t,f,0,g,0,approve
b,c,v,t,t,6,g,?,approve
a,q,v,t,t,2,g,49,approve
b,w,v,t,t,1,g,50,approve
a,q,h,t,t,8,g,0,approve
a,?,?,f,f,0,p,?,approve
b,q,h,t,t,6,g,381,approve
b,k,v,t,t,7,g,150,approve
b,c,bb,t,t,16,g,117,approve
b,cc,h,t,t,14,g,399,approve
b,d,v,t,f,0,s,100,approve
b,ff,ff,t,t,15,g,0,approve
b,i,v,t,t,9,g,56,approve
b,cc,v,t,t,1,g,211,approve
b,aa,v,t,f,0,s,230,approve
b,cc,h,t,t,8,g,320,approve
b,ff,ff,t,t,5,g,0,approve
b,e,v,t,t,5,g,0,approve
a,c,v,t,t,4,g,80,approve
a,aa,v,t,t,3,g,156,approve
b,e,z,t,t,7,g,22,approve
a,aa,v,t,f,0,g,0,approve
a,aa,v,t,f,0,g,100,approve
a,q,v,t,f,0,g,228,approve
b,c,bb,t,f,0,g,160,approve
b,k,v,t,f,0,g,80,approve
a,x,v,f,f,0,g,164,approve
b,q,v,t,t,2,g,80,approve
b,cc,v,t,f,0,g,100,approve
